+------+------------------+------+----------+---------------------------+-------+
| cn   | name             | cost | type     | rarity                    | phone |
+------+------------------+------+----------+---------------------------+-------+
| 0    | Arrows           | 3    | Spell    | Common                    | NULL  |
| 1    | Bomber           | 3    | Troop    | Common                    | NULL  |
| 2    | Archers          | 3    | Troop    | Common                    | NULL  |
| 3    | Knight           | 3    | Troop    | Common                    | NULL  |
| 4    | Fireball         | 4    | Spell    | Rare                      | NULL  |
| 5    | Mini_PEKKA       | 4    | Troop    | Rare                      | NULL  |
| 6    | Musketeer        | 4    | Troop    | Rare                      | NULL  |
| 7    | Giant            | 5    | Troop    | Rare                      | NULL  |
| 8    | Prince           | 5    | Troop    | Epic                      | NULL  |
| 9    | Baby_Dragon      | 4    | Troop    | Epic                      | NULL  |
| 10   | Skeleton_Army    | 3    | Troop    | Epic                      | NULL  |
| 11   | Witch            | 5    | Troop    | Epic                      | NULL  |
| 12   | Spear_Goblins    | 2    | Troop    | Common                    | NULL  |
| 13   | Goblins          | 2    | Troop    | Common                    | NULL  |
| 14   | Goblin_Hut       | 5    | Building | Rare                      | NULL  |
| 15   | Valkyrie         | 4    | Troop    | Rare                      | NULL  |
| 16   | Lightning        | 6    | Spell    | Epic                      | NULL  |
| 17   | Goblin_Barrel    | 3    | Spell    | Epic                      | NULL  |
| 18   | Skeletons        | 1    | Troop    | Common                    | NULL  |
| 19   | Minions          | 3    | Troop    | Common                    | NULL  |
| 20   | Tombstone        | 3    | Building | Rare                      | NULL  |
| 21   | Bomb_Tower       | 5    | Building | Rare                      | NULL  |
| 22   | Giant_Skeleton   | 6    | Troop    | Epic                      | NULL  |
| 23   | Balloon          | 5    | Troop    | Epic                      | NULL  |
| 24   | Cannon           | 3    | Building | Common                    | NULL  |
| 25   | Barbarians       | 5    | Building | Common                    | NULL  |
| 26   | Rocket           | 6    | Spell    | Rare                      | NULL  |
| 27   | Barbarian_Hut    | 7    | Building | Rare                      | NULL  |
| 28   | Rage             | 2    | Spell    | Epic                      | NULL  |
| 29   | X-Bow            | 6    | Building | Epic                      | NULL  |
| 30   | Tesla            | 4    | Building | Common                    | NULL  |
| 31   | Minion_Horde     | 5    | Troop    | Common                    | NULL  |
| 32   | Inferno_Tower    | 5    | Building | Rare                      | NULL  |
| 33   | Hog_Rider        | 4    | Troop    | Rare                      | NULL  |
| 34   | Freeze           | 4    | Spell    | Epic                      | NULL  |
| 35   | PEKKA            | 7    | Troop    | Epic                      | NULL  |
| 36   | Inferno_Dragon   | 4    | Troop    | Legendary                 | NULL  |
| 37   | Lava_Hound       | 7    | Troop    | Legendary                 | NULL  |
| 38   | Zap              | 2    | Spell    | Common                    | NULL  |
| 39   | Fire_Spirits     | 2    | Troop    | Common                    | NULL  |
| 40   | Furnace          | 4    | Building | Rare                      | NULL  |
| 41   | Wizard           | 5    | Troop    | Rare                      | NULL  |
| 42   | Poison           | 4    | Spell    | Epic                      | NULL  |
| 43   | Mirror           | +1   | Spell    | Epic                      | NULL  |
| 44   | Graveyard        | 5    | Spell    | Legendary                 | NULL  |
| 45   | Ice_Wizard       | 3    | Troop    | Legendary                 | NULL  |
| 46   | Mortar           | 4    | Building | Common                    | NULL  |
| 47   | Elixir_Collector | 6    | Building | Rare                      | NULL  |
| 48   | Battle_Ram       | 4    | Troop    | Rare                      | NULL  |
| 49   | Tornado          | 3    | Spell    | Epic                      | NULL  |
| 50   | Golem            | 8    | Troop    | Epic                      | NULL  |
| 51   | The_Log          | 2    | Spell    | Legendary                 | NULL  |
| 52   | Sparky           | 6    | Troop    | Legendary                 | NULL  |
| 53   | Miner            | 3    | Troop    | Legendary                 | NULL  |
| 54   | Elite_Barbarians | 6    | Troop    | Common                    | NULL  |
| 55   | Royal_Giant      | 6    | Troop    | Common                    | NULL  |
| 56   | Mega_Minion      | 3    | Troop    | Rare                      | NULL  |
| 57   | Three_Musketeers | 9    | Troop    | Rare                      | NULL  |
| 58   | Dark_Prince      | 4    | Troop    | Epic                      | NULL  |
| 59   | Guards           | 3    | Troop    | Epic                      | NULL  |
| 60   | Electro_Wizard   | 4    | Troop    | Legendary                 | NULL  |
| 61   | Princess         | 3    | Troop    | Legendary                 | NULL  |
| 62   | Ice_Spirit       | 1    | Troop    | Common                    | NULL  |
| 63   | Ice_Golem        | 2    | Troop    | Rare                      | NULL  |
| 64   | Clone            | 3    | Spell    | Epic                      | NULL  |
| 65   | Bowler           | 5    | Troop    | Epic                      | NULL  |
| 64   | Lumberjack       | 4    | Troop    | Legendary                 | NULL  |
| 65   | Goblin_Gang      | 3    | Troop    | Common                    | NULL  |
| 66   | Dart_Goblin      | 3    | Troop    | Rare                      | NULL  |
| 67   | Executioner      | 5    | Troop    | Epic                      | NULL  |
| 68   | Fred             | 10   | God      | Legendaryly Epic (Hidden) | NULL  |
+------+------------------+------+----------+---------------------------+-------+
71 rows in set (0.00 sec)
